feature,importance_mean,importance_std
V4,0.051846686440676616,0.006973348760944735
V12,0.04746963508185933,0.036336001849879146
V14,0.022760817037021375,0.029694988897389436
V9,0.019224352865991185,0.007031480143811617
V8,0.014862268446524607,0.011871045804252231
V15,0.010728337752017572,0.004420890205451293
V3,0.008550102678166138,0.00933899929614428
Time,0.006597332895421156,0.002075077392433664
V6,0.006450065911082992,0.005473202191392333
V28,0.005628553534124429,0.004388472219019566
V17,0.004882150323807048,0.0018566826199699579
V25,0.002921430854177213,0.00031636843402312536
V18,0.0017309075672105785,0.001907284212323534
V13,0.0016070909082065803,0.00499825372917455
V22,0.0015676410443554722,0.0013812032352468388
V21,0.0014763525828920636,0.0019960457254764585
V7,0.0012136923218415419,0.0035326271886686406
V2,0.0011759703224780333,0.005077352304913692
V11,-0.0004128070511064674,0.017996423957302218
V23,-0.0009602290306583253,0.0007246372404292684
V16,-0.0018970067090734455,0.0013876022312987277
V1,-0.0025295554694616897,0.0010389178840316897
V26,-0.0031220642783426436,0.0010714568896453512
V19,-0.003542649872013729,0.002333177430206907
V10,-0.0036826819277040825,0.007948730224207596
Amount,-0.004281213821977918,0.0014625181689811632
V20,-0.005492362489093979,0.006930698932735144
V5,-0.006654625671620969,0.0018049647972019757
V27,-0.007093252536352956,0.005831099587971083
V24,-0.012949705279262388,0.0015106015876814572
